symbol,company_name,industry,annualized_return_percent,volatility_percent,max_drawdown_percent,downside_volatility_percent,historical_var_95_percent,historical_cvar_95_percent,risk_adjusted_return,liquidity_score,risk_score,risk_bucket
HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,12.167656257584403,26.72590283733752,-52.946452212044136,16.10318726048649,2.8115163468584536,3.4423283394007687,0.4552757798919157,63.265306122448976,37.244897959183675,Medium
COALINDIA,Coal India Ltd.,METALS,-11.542892288316843,24.551903001291393,-74.99538267155926,15.1952660195393,2.6977167930385892,3.24824846227154,-0.4701424687002756,74.48979591836735,37.244897959183675,Medium
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,10.572792914585062,25.576136892518882,-67.85556585920452,15.554644466200152,2.6542671703962,3.2983033168479716,0.4133850612004522,15.306122448979593,34.69387755102041,Medium
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,-0.6910915491069702,23.356696317014055,-75.21598657565119,14.423294716129073,2.4091993923759736,3.0970687422514094,-0.02958858306530057,55.10204081632653,32.142857142857146,Low
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,14.148036452138403,25.82303223706574,-58.927921648509006,15.579087807292186,2.6453260388009747,3.3243428192560662,0.5478843972409507,12.244897959183675,31.122448979591834,Low
RELIANCE,Reliance Industries Ltd.,ENERGY,18.123923149396393,26.17323419256928,-45.34769841810407,15.659474081138288,2.67930224602246,3.3450509546891016,0.6924602063333034,89.79591836734693,29.081632653061227,Low
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE,19.095949814762704,26.23350174565427,-46.82202187698117,15.553156401699352,2.684496636765764,3.30527582312024,0.7279222575737933,53.06122448979592,29.081632653061224,Low
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,10.325664913778109,25.8905600681051,-57.03041560280195,15.508625780152169,2.62628031165193,3.314371512482429,0.39881968125125355,59.183673469387756,28.57142857142857,Low
CIPLA,Cipla Ltd.,PHARMA,-1.2988406015965404,23.383023154787175,-57.9919764323954,14.391727260912099,2.478662130368028,3.082410532989268,-0.05554630780625261,29.591836734693878,25.0,Low
NTPC,NTPC Ltd.,ENERGY,-2.5984612891308823,22.68652834180446,-70.4158083050032,13.51419900157489,2.3983942104095863,2.9217092249981067,-0.11453763440493882,65.3061224489796,23.979591836734695,Low
ITC,ITC Ltd.,CONSUMER GOODS,9.120073706200603,23.099916053957458,-53.40144074229569,14.063156659065172,2.455406970395206,3.0059213322699465,0.3948098202996786,82.6530612244898,19.387755102040817,Low
TCS,Tata Consultancy Services Ltd.,IT,21.153024867367144,23.27738821007539,-51.89354692031849,13.823862269672741,2.36690476640318,2.920146082450817,0.9087370402754749,66.32653061224491,16.326530612244895,Low
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,12.5245880325064,23.337813281689627,-39.18311778038128,14.272620654230279,2.3926004376540186,3.020495371909636,0.5366650200399425,28.57142857142857,15.816326530612244,Low
